I0	A	Rs	Rsh	Error
1.139e-08	1.521e+00	7.588e+00	6.996e+03	4.715e+00
1.126e-08	1.519e+00	7.611e+00	7.017e+03	4.713e+00
1.066e-08	1.511e+00	7.669e+00	6.997e+03	4.649e+00
1.049e-08	1.510e+00	7.688e+00	6.964e+03	4.485e+00
1.051e-08	1.510e+00	7.612e+00	6.966e+03	4.430e+00
1.029e-08	1.507e+00	7.660e+00	6.971e+03	4.375e+00
1.079e-08	1.514e+00	7.578e+00	6.984e+03	4.341e+00
1.114e-08	1.519e+00	7.555e+00	6.985e+03	4.289e+00
1.098e-08	1.516e+00	7.596e+00	7.003e+03	4.269e+00
1.104e-08	1.517e+00	7.647e+00	7.004e+03	4.206e+00
1.046e-08	1.509e+00	7.694e+00	6.989e+03	3.976e+00
1.134e-08	1.520e+00	7.598e+00	7.000e+03	3.909e+00
1.049e-08	1.510e+00	7.661e+00	6.958e+03	3.775e+00
1.104e-08	1.517e+00	7.617e+00	6.979e+03	3.576e+00
1.068e-08	1.512e+00	7.681e+00	6.973e+03	3.418e+00
1.058e-08	1.511e+00	7.648e+00	6.964e+03	3.367e+00
1.042e-08	1.509e+00	7.674e+00	6.976e+03	3.342e+00
1.093e-08	1.515e+00	7.588e+00	6.990e+03	3.335e+00
1.113e-08	1.518e+00	7.581e+00	7.011e+03	3.275e+00
1.095e-08	1.516e+00	7.585e+00	6.981e+03	3.244e+00
1.108e-08	1.517e+00	7.636e+00	7.002e+03	3.226e+00
1.118e-08	1.519e+00	7.607e+00	7.005e+03	3.218e+00
1.074e-08	1.514e+00	7.605e+00	6.971e+03	3.196e+00
1.046e-08	1.510e+00	7.644e+00	6.979e+03	2.900e+00
1.077e-08	1.513e+00	7.613e+00	6.981e+03	2.849e+00
1.078e-08	1.514e+00	7.612e+00	6.989e+03	2.666e+00
1.116e-08	1.518e+00	7.582e+00	7.006e+03	2.625e+00
1.067e-08	1.512e+00	7.672e+00	6.984e+03	2.575e+00
1.104e-08	1.517e+00	7.640e+00	7.001e+03	2.483e+00
1.107e-08	1.517e+00	7.613e+00	6.981e+03	2.404e+00
1.124e-08	1.519e+00	7.593e+00	7.005e+03	2.313e+00
1.049e-08	1.509e+00	7.653e+00	6.984e+03	2.295e+00
1.105e-08	1.517e+00	7.625e+00	6.996e+03	2.287e+00
1.088e-08	1.514e+00	7.648e+00	7.000e+03	2.066e+00
1.047e-08	1.509e+00	7.654e+00	6.982e+03	1.989e+00
1.106e-08	1.517e+00	7.621e+00	7.005e+03	1.935e+00
1.074e-08	1.513e+00	7.609e+00	6.978e+03	1.843e+00
1.062e-08	1.511e+00	7.667e+00	6.978e+03	1.843e+00
1.118e-08	1.519e+00	7.586e+00	7.003e+03	1.811e+00
1.074e-08	1.513e+00	7.617e+00	6.998e+03	1.781e+00
1.100e-08	1.517e+00	7.579e+00	6.985e+03	1.739e+00
1.063e-08	1.511e+00	7.673e+00	6.987e+03	1.733e+00
1.108e-08	1.517e+00	7.596e+00	6.991e+03	1.640e+00
1.081e-08	1.514e+00	7.642e+00	7.001e+03	1.529e+00
1.069e-08	1.513e+00	7.612e+00	6.975e+03	1.411e+00
1.083e-08	1.515e+00	7.605e+00	6.997e+03	1.405e+00
1.083e-08	1.514e+00	7.656e+00	6.991e+03	1.395e+00
1.102e-08	1.516e+00	7.605e+00	6.981e+03	1.385e+00
1.074e-08	1.513e+00	7.613e+00	6.980e+03	1.322e+00
1.076e-08	1.513e+00	7.638e+00	6.972e+03	1.171e+00
1.079e-08	1.514e+00	7.628e+00	6.973e+03	1.115e+00
1.076e-08	1.513e+00	7.629e+00	6.998e+03	1.109e+00
1.078e-08	1.513e+00	7.653e+00	6.980e+03	1.067e+00
1.070e-08	1.512e+00	7.656e+00	6.990e+03	1.036e+00
1.081e-08	1.514e+00	7.622e+00	6.992e+03	9.898e-01
1.096e-08	1.516e+00	7.633e+00	6.985e+03	9.613e-01
1.108e-08	1.518e+00	7.600e+00	6.995e+03	9.497e-01
1.090e-08	1.515e+00	7.643e+00	6.987e+03	8.962e-01
1.069e-08	1.512e+00	7.639e+00	6.976e+03	6.439e-01
1.089e-08	1.515e+00	7.625e+00	6.983e+03	2.962e-01
1.086e-08	1.515e+00	7.614e+00	6.990e+03	2.852e-01
1.094e-08	1.516e+00	7.608e+00	6.987e+03	2.364e-01
1.077e-08	1.513e+00	7.636e+00	6.983e+03	1.126e-01
