I0	A	Rs	Rsh	Error
2.210e-09	1.607e+00	7.276e+00	8.969e+03	4.597e+00
2.313e-09	1.612e+00	7.293e+00	8.982e+03	4.418e+00
2.277e-09	1.610e+00	7.336e+00	9.011e+03	4.201e+00
2.327e-09	1.613e+00	7.288e+00	8.987e+03	4.150e+00
2.293e-09	1.611e+00	7.276e+00	9.012e+03	3.953e+00
2.154e-09	1.602e+00	7.394e+00	8.978e+03	3.937e+00
2.300e-09	1.612e+00	7.260e+00	9.005e+03	3.886e+00
2.292e-09	1.612e+00	7.260e+00	8.993e+03	3.843e+00
2.127e-09	1.601e+00	7.364e+00	8.954e+03	3.826e+00
2.133e-09	1.602e+00	7.371e+00	8.955e+03	3.820e+00
2.186e-09	1.605e+00	7.289e+00	8.978e+03	3.784e+00
2.120e-09	1.600e+00	7.394e+00	8.980e+03	3.713e+00
2.170e-09	1.603e+00	7.366e+00	8.976e+03	3.691e+00
2.166e-09	1.603e+00	7.379e+00	8.971e+03	3.662e+00
2.255e-09	1.609e+00	7.306e+00	8.972e+03	3.659e+00
2.133e-09	1.602e+00	7.374e+00	8.973e+03	3.649e+00
2.164e-09	1.603e+00	7.364e+00	8.978e+03	3.636e+00
2.122e-09	1.601e+00	7.337e+00	8.973e+03	3.583e+00
2.163e-09	1.603e+00	7.367e+00	8.963e+03	3.517e+00
2.194e-09	1.605e+00	7.325e+00	8.961e+03	3.501e+00
2.174e-09	1.605e+00	7.330e+00	8.982e+03	3.483e+00
2.135e-09	1.602e+00	7.340e+00	8.981e+03	3.356e+00
2.262e-09	1.609e+00	7.344e+00	9.005e+03	3.294e+00
2.219e-09	1.607e+00	7.284e+00	8.972e+03	3.206e+00
2.215e-09	1.607e+00	7.307e+00	8.979e+03	3.186e+00
2.156e-09	1.603e+00	7.331e+00	8.993e+03	3.005e+00
2.312e-09	1.612e+00	7.306e+00	8.998e+03	2.923e+00
2.263e-09	1.609e+00	7.342e+00	8.993e+03	2.919e+00
2.145e-09	1.603e+00	7.344e+00	8.964e+03	2.859e+00
2.150e-09	1.603e+00	7.356e+00	8.958e+03	2.709e+00
2.138e-09	1.602e+00	7.360e+00	8.978e+03	2.649e+00
2.221e-09	1.607e+00	7.342e+00	8.982e+03	2.633e+00
2.236e-09	1.608e+00	7.298e+00	8.984e+03	2.563e+00
2.258e-09	1.609e+00	7.324e+00	9.010e+03	2.515e+00
2.262e-09	1.609e+00	7.330e+00	9.004e+03	2.510e+00
2.290e-09	1.611e+00	7.299e+00	9.007e+03	2.284e+00
2.272e-09	1.610e+00	7.301e+00	8.994e+03	2.235e+00
2.287e-09	1.611e+00	7.297e+00	8.978e+03	2.149e+00
2.283e-09	1.610e+00	7.302e+00	8.996e+03	2.063e+00
2.236e-09	1.608e+00	7.301e+00	9.005e+03	2.045e+00
2.209e-09	1.606e+00	7.361e+00	8.988e+03	2.002e+00
2.289e-09	1.611e+00	7.289e+00	9.004e+03	1.990e+00
2.185e-09	1.605e+00	7.312e+00	8.992e+03	1.989e+00
2.195e-09	1.606e+00	7.314e+00	8.992e+03	1.792e+00
2.174e-09	1.604e+00	7.344e+00	8.971e+03	1.772e+00
2.286e-09	1.610e+00	7.301e+00	8.987e+03	1.701e+00
2.211e-09	1.607e+00	7.305e+00	8.982e+03	1.619e+00
2.256e-09	1.609e+00	7.312e+00	9.003e+03	1.522e+00
2.187e-09	1.605e+00	7.318e+00	8.969e+03	1.473e+00
2.276e-09	1.610e+00	7.308e+00	8.981e+03	1.418e+00
2.176e-09	1.605e+00	7.331e+00	8.975e+03	1.366e+00
2.219e-09	1.607e+00	7.300e+00	8.976e+03	1.218e+00
2.191e-09	1.605e+00	7.311e+00	8.977e+03	1.202e+00
2.229e-09	1.607e+00	7.340e+00	8.985e+03	1.169e+00
2.205e-09	1.606e+00	7.320e+00	8.976e+03	1.108e+00
2.174e-09	1.604e+00	7.341e+00	8.976e+03	1.107e+00
2.199e-09	1.606e+00	7.353e+00	8.979e+03	7.920e-01
2.184e-09	1.605e+00	7.338e+00	8.973e+03	7.751e-01
2.249e-09	1.609e+00	7.316e+00	8.981e+03	7.191e-01
2.181e-09	1.605e+00	7.328e+00	8.976e+03	6.293e-01
2.241e-09	1.608e+00	7.307e+00	8.980e+03	4.978e-01
2.194e-09	1.605e+00	7.333e+00	8.988e+03	3.458e-01
2.219e-09	1.607e+00	7.312e+00	8.979e+03	3.350e-01
