3.884e-10	1.696e+00	6.986e+00	1.087e+04	2.136e+01
3.635e-10	1.687e+00	7.049e+00	1.086e+04	1.526e+01
3.796e-10	1.694e+00	6.956e+00	1.083e+04	1.519e+01
3.499e-10	1.684e+00	6.981e+00	1.088e+04	1.508e+01
3.630e-10	1.688e+00	6.999e+00	1.089e+04	1.405e+01
3.831e-10	1.695e+00	6.911e+00	1.087e+04	1.399e+01
3.094e-10	1.669e+00	7.077e+00	1.079e+04	1.346e+01
3.728e-10	1.690e+00	6.973e+00	1.087e+04	1.336e+01
3.544e-10	1.685e+00	7.034e+00	1.090e+04	1.336e+01
3.407e-10	1.679e+00	7.045e+00	1.087e+04	1.335e+01
3.342e-10	1.679e+00	7.017e+00	1.077e+04	1.326e+01
3.379e-10	1.680e+00	6.957e+00	1.084e+04	1.273e+01
3.266e-10	1.676e+00	7.020e+00	1.086e+04	1.263e+01
3.701e-10	1.689e+00	7.022e+00	1.086e+04	1.259e+01
3.790e-10	1.694e+00	6.917e+00	1.084e+04	1.232e+01
3.430e-10	1.681e+00	6.964e+00	1.083e+04	1.224e+01
3.698e-10	1.690e+00	7.018e+00	1.088e+04	1.213e+01
3.126e-10	1.670e+00	7.133e+00	1.079e+04	1.200e+01
3.544e-10	1.684e+00	6.978e+00	1.087e+04	1.193e+01
3.316e-10	1.676e+00	7.130e+00	1.085e+04	1.156e+01
3.254e-10	1.675e+00	7.020e+00	1.078e+04	1.138e+01
3.713e-10	1.691e+00	6.982e+00	1.088e+04	1.119e+01
3.675e-10	1.689e+00	7.024e+00	1.082e+04	1.117e+01
3.171e-10	1.672e+00	7.033e+00	1.080e+04	1.105e+01
3.223e-10	1.673e+00	7.113e+00	1.080e+04	1.073e+01
3.100e-10	1.669e+00	7.097e+00	1.083e+04	1.071e+01
3.450e-10	1.682e+00	7.091e+00	1.081e+04	1.070e+01
3.254e-10	1.675e+00	7.008e+00	1.081e+04	1.068e+01
3.404e-10	1.680e+00	7.114e+00	1.082e+04	1.068e+01
3.790e-10	1.693e+00	6.932e+00	1.085e+04	1.060e+01
3.608e-10	1.688e+00	6.936e+00	1.082e+04	1.059e+01
3.301e-10	1.676e+00	7.136e+00	1.082e+04	1.042e+01
3.222e-10	1.673e+00	7.125e+00	1.084e+04	1.038e+01
3.525e-10	1.685e+00	6.969e+00	1.088e+04	1.033e+01
3.686e-10	1.690e+00	7.014e+00	1.085e+04	1.033e+01
3.144e-10	1.671e+00	7.128e+00	1.084e+04	1.031e+01
3.138e-10	1.670e+00	7.120e+00	1.082e+04	1.026e+01
3.523e-10	1.684e+00	6.943e+00	1.085e+04	1.021e+01
3.747e-10	1.692e+00	6.947e+00	1.087e+04	1.017e+01
3.511e-10	1.685e+00	6.973e+00	1.080e+04	1.014e+01
3.376e-10	1.679e+00	7.068e+00	1.088e+04	1.002e+01
3.590e-10	1.686e+00	7.061e+00	1.085e+04	1.000e+01
3.646e-10	1.688e+00	7.019e+00	1.088e+04	9.971e+00
3.373e-10	1.679e+00	7.040e+00	1.078e+04	9.961e+00
3.579e-10	1.687e+00	6.936e+00	1.087e+04	9.940e+00
3.209e-10	1.673e+00	7.056e+00	1.080e+04	9.915e+00
3.725e-10	1.691e+00	7.006e+00	1.086e+04	9.914e+00
3.306e-10	1.676e+00	7.116e+00	1.082e+04	9.900e+00
3.183e-10	1.673e+00	7.055e+00	1.079e+04	9.749e+00
