I0	A	Rs	Rsh	Error
3.578e-10	1.686e+00	6.997e+00	1.082e+04	4.719e+00
3.542e-10	1.685e+00	6.965e+00	1.083e+04	4.708e+00
3.605e-10	1.687e+00	6.989e+00	1.086e+04	4.671e+00
3.215e-10	1.674e+00	7.065e+00	1.081e+04	4.639e+00
3.546e-10	1.685e+00	7.023e+00	1.084e+04	4.610e+00
3.428e-10	1.681e+00	7.053e+00	1.086e+04	4.592e+00
3.258e-10	1.675e+00	7.034e+00	1.081e+04	4.575e+00
3.639e-10	1.688e+00	6.993e+00	1.086e+04	4.568e+00
3.250e-10	1.675e+00	7.077e+00	1.084e+04	4.538e+00
3.649e-10	1.689e+00	6.964e+00	1.085e+04	4.524e+00
3.626e-10	1.688e+00	7.012e+00	1.085e+04	4.519e+00
3.207e-10	1.673e+00	7.094e+00	1.083e+04	4.489e+00
3.340e-10	1.678e+00	7.030e+00	1.080e+04	4.468e+00
3.292e-10	1.676e+00	7.069e+00	1.080e+04	4.458e+00
3.514e-10	1.684e+00	7.000e+00	1.085e+04	4.455e+00
3.256e-10	1.675e+00	7.107e+00	1.082e+04	4.437e+00
3.425e-10	1.681e+00	7.037e+00	1.086e+04	4.432e+00
3.444e-10	1.681e+00	7.015e+00	1.086e+04	4.392e+00
3.435e-10	1.681e+00	7.044e+00	1.087e+04	4.334e+00
3.477e-10	1.683e+00	6.981e+00	1.081e+04	4.331e+00
3.223e-10	1.674e+00	7.076e+00	1.080e+04	4.310e+00
3.386e-10	1.679e+00	7.047e+00	1.085e+04	4.307e+00
3.278e-10	1.676e+00	7.043e+00	1.081e+04	4.301e+00
3.538e-10	1.685e+00	6.996e+00	1.086e+04	4.300e+00
3.431e-10	1.682e+00	7.044e+00	1.082e+04	4.289e+00
3.496e-10	1.684e+00	6.971e+00	1.082e+04	4.288e+00
3.412e-10	1.681e+00	7.012e+00	1.081e+04	4.279e+00
3.597e-10	1.687e+00	6.992e+00	1.083e+04	4.277e+00
3.584e-10	1.686e+00	7.023e+00	1.086e+04	4.251e+00
3.363e-10	1.679e+00	7.063e+00	1.083e+04	4.243e+00
3.586e-10	1.686e+00	7.013e+00	1.082e+04	4.218e+00
3.580e-10	1.686e+00	7.024e+00	1.083e+04	4.201e+00
3.335e-10	1.677e+00	7.030e+00	1.082e+04	4.171e+00
3.367e-10	1.678e+00	7.052e+00	1.085e+04	4.166e+00
3.590e-10	1.686e+00	6.997e+00	1.084e+04	4.164e+00
3.634e-10	1.688e+00	7.001e+00	1.084e+04	4.107e+00
3.596e-10	1.686e+00	6.985e+00	1.085e+04	4.104e+00
3.272e-10	1.676e+00	7.037e+00	1.081e+04	4.103e+00
3.603e-10	1.687e+00	6.957e+00	1.084e+04	4.102e+00
3.600e-10	1.687e+00	6.998e+00	1.083e+04	4.101e+00
3.291e-10	1.677e+00	7.022e+00	1.082e+04	4.077e+00
3.521e-10	1.684e+00	6.979e+00	1.084e+04	4.066e+00
3.578e-10	1.686e+00	6.984e+00	1.086e+04	4.065e+00
3.569e-10	1.686e+00	6.996e+00	1.086e+04	4.049e+00
3.290e-10	1.676e+00	7.021e+00	1.082e+04	4.032e+00
3.554e-10	1.685e+00	6.996e+00	1.087e+04	3.987e+00
