5.604e-09	1.547e+00	7.610e+00	7.864e+03	9.535e+00
5.308e-09	1.540e+00	7.641e+00	7.881e+03	9.016e+00
5.867e-09	1.554e+00	7.483e+00	7.866e+03	8.720e+00
5.138e-09	1.537e+00	7.611e+00	7.859e+03	8.689e+00
5.628e-09	1.549e+00	7.499e+00	7.843e+03	7.891e+00
5.340e-09	1.542e+00	7.559e+00	7.877e+03	7.859e+00
5.720e-09	1.551e+00	7.512e+00	7.893e+03	7.637e+00
5.738e-09	1.552e+00	7.497e+00	7.877e+03	6.964e+00
5.701e-09	1.550e+00	7.564e+00	7.873e+03	6.802e+00
5.728e-09	1.551e+00	7.500e+00	7.864e+03	6.762e+00
5.266e-09	1.540e+00	7.616e+00	7.838e+03	6.761e+00
5.534e-09	1.546e+00	7.517e+00	7.841e+03	6.321e+00
5.750e-09	1.551e+00	7.486e+00	7.857e+03	6.314e+00
5.149e-09	1.536e+00	7.588e+00	7.849e+03	6.209e+00
5.641e-09	1.549e+00	7.477e+00	7.859e+03	6.194e+00
5.741e-09	1.551e+00	7.508e+00	7.854e+03	5.830e+00
5.709e-09	1.550e+00	7.503e+00	7.851e+03	5.655e+00
5.520e-09	1.546e+00	7.521e+00	7.889e+03	5.554e+00
5.223e-09	1.538e+00	7.593e+00	7.823e+03	5.548e+00
5.570e-09	1.548e+00	7.534e+00	7.871e+03	5.460e+00
5.180e-09	1.538e+00	7.592e+00	7.846e+03	5.230e+00
5.214e-09	1.537e+00	7.622e+00	7.834e+03	5.082e+00
5.257e-09	1.540e+00	7.581e+00	7.858e+03	4.869e+00
5.471e-09	1.545e+00	7.530e+00	7.884e+03	4.745e+00
