I0	A	Rs	Rsh	Error
5.702e-09	1.550e+00	7.530e+00	7.888e+03	4.714e+00
5.736e-09	1.551e+00	7.532e+00	7.874e+03	4.664e+00
5.563e-09	1.547e+00	7.553e+00	7.841e+03	4.638e+00
5.382e-09	1.542e+00	7.535e+00	7.871e+03	4.618e+00
5.278e-09	1.539e+00	7.626e+00	7.849e+03	4.484e+00
5.638e-09	1.549e+00	7.533e+00	7.871e+03	4.460e+00
5.702e-09	1.550e+00	7.552e+00	7.872e+03	4.308e+00
5.533e-09	1.546e+00	7.544e+00	7.849e+03	4.290e+00
5.587e-09	1.548e+00	7.520e+00	7.847e+03	4.284e+00
5.427e-09	1.543e+00	7.595e+00	7.878e+03	4.248e+00
5.635e-09	1.549e+00	7.557e+00	7.879e+03	4.024e+00
5.229e-09	1.538e+00	7.600e+00	7.859e+03	4.004e+00
5.347e-09	1.542e+00	7.552e+00	7.841e+03	3.995e+00
5.282e-09	1.540e+00	7.578e+00	7.829e+03	3.920e+00
5.270e-09	1.539e+00	7.575e+00	7.835e+03	3.909e+00
5.250e-09	1.539e+00	7.587e+00	7.834e+03	3.886e+00
5.458e-09	1.544e+00	7.608e+00	7.847e+03	3.874e+00
5.679e-09	1.549e+00	7.535e+00	7.857e+03	3.645e+00
5.605e-09	1.548e+00	7.523e+00	7.879e+03	3.448e+00
5.556e-09	1.546e+00	7.589e+00	7.865e+03	3.443e+00
5.223e-09	1.538e+00	7.621e+00	7.854e+03	3.422e+00
5.373e-09	1.542e+00	7.612e+00	7.853e+03	3.418e+00
5.566e-09	1.546e+00	7.570e+00	7.855e+03	3.362e+00
5.501e-09	1.544e+00	7.590e+00	7.875e+03	3.360e+00
5.589e-09	1.548e+00	7.536e+00	7.864e+03	3.268e+00
5.196e-09	1.538e+00	7.599e+00	7.847e+03	3.242e+00
5.669e-09	1.549e+00	7.518e+00	7.881e+03	3.156e+00
5.502e-09	1.545e+00	7.550e+00	7.870e+03	3.063e+00
5.380e-09	1.542e+00	7.604e+00	7.876e+03	3.039e+00
5.266e-09	1.540e+00	7.607e+00	7.859e+03	3.001e+00
5.589e-09	1.547e+00	7.536e+00	7.874e+03	2.951e+00
5.276e-09	1.539e+00	7.631e+00	7.853e+03	2.943e+00
5.243e-09	1.539e+00	7.604e+00	7.864e+03	2.923e+00
5.341e-09	1.541e+00	7.600e+00	7.875e+03	2.809e+00
5.518e-09	1.545e+00	7.567e+00	7.856e+03	2.801e+00
5.547e-09	1.547e+00	7.515e+00	7.852e+03	2.646e+00
5.412e-09	1.542e+00	7.609e+00	7.856e+03	2.583e+00
5.296e-09	1.540e+00	7.566e+00	7.859e+03	2.566e+00
5.557e-09	1.546e+00	7.563e+00	7.873e+03	2.398e+00
5.295e-09	1.540e+00	7.613e+00	7.853e+03	2.395e+00
5.561e-09	1.546e+00	7.551e+00	7.883e+03	2.377e+00
5.560e-09	1.547e+00	7.522e+00	7.869e+03	2.374e+00
5.273e-09	1.540e+00	7.576e+00	7.856e+03	2.207e+00
5.510e-09	1.546e+00	7.517e+00	7.861e+03	2.184e+00
5.241e-09	1.539e+00	7.606e+00	7.853e+03	2.023e+00
5.280e-09	1.540e+00	7.604e+00	7.839e+03	2.011e+00
5.368e-09	1.542e+00	7.547e+00	7.852e+03	1.977e+00
5.417e-09	1.543e+00	7.586e+00	7.875e+03	1.914e+00
5.445e-09	1.544e+00	7.588e+00	7.854e+03	1.868e+00
5.278e-09	1.540e+00	7.587e+00	7.841e+03	1.846e+00
5.355e-09	1.542e+00	7.577e+00	7.870e+03	1.685e+00
5.451e-09	1.544e+00	7.544e+00	7.872e+03	1.624e+00
5.599e-09	1.548e+00	7.522e+00	7.868e+03	1.595e+00
5.422e-09	1.543e+00	7.584e+00	7.858e+03	1.435e+00
5.562e-09	1.547e+00	7.532e+00	7.859e+03	1.219e+00
5.385e-09	1.542e+00	7.578e+00	7.863e+03	1.207e+00
5.570e-09	1.547e+00	7.535e+00	7.864e+03	1.087e+00
5.404e-09	1.543e+00	7.595e+00	7.851e+03	9.794e-01
5.538e-09	1.546e+00	7.547e+00	7.872e+03	8.521e-01
5.379e-09	1.542e+00	7.579e+00	7.855e+03	8.117e-01
5.350e-09	1.542e+00	7.588e+00	7.852e+03	6.350e-01
5.395e-09	1.542e+00	7.570e+00	7.856e+03	5.858e-01
5.498e-09	1.545e+00	7.569e+00	7.856e+03	5.778e-01
5.531e-09	1.546e+00	7.558e+00	7.860e+03	5.453e-01
5.420e-09	1.543e+00	7.578e+00	7.855e+03	5.045e-01
5.485e-09	1.545e+00	7.559e+00	7.854e+03	4.712e-01
5.358e-09	1.542e+00	7.574e+00	7.854e+03	4.466e-01
5.396e-09	1.543e+00	7.573e+00	7.853e+03	2.723e-01
